Date,Weekly U.S. Product Supplied of Distillate Fuel Oil  (Thousand Barrels per Day)
2014-02-28,3546
2014-03-07,3697
2014-03-14,4159
2014-03-21,3476
2014-03-28,3795
2014-04-04,3927
2014-04-11,4165
2014-04-18,3834
2014-04-25,3909
2014-05-02,4325
2014-05-09,4271
2014-05-16,3791
2014-05-23,4201
2014-05-30,4157
2014-06-06,3883
2014-06-13,3811
2014-06-20,3646
2014-06-27,3778
2014-07-04,3966
2014-07-11,3733
2014-07-18,3917
2014-07-25,3833
2014-08-01,4034
2014-08-08,4030
2014-08-15,4002
2014-08-22,3645
2014-08-29,3947
2014-09-05,3403
2014-09-12,3830
2014-09-19,3750
2014-09-26,4117
2014-10-03,3498
2014-10-10,3710
2014-10-17,3309
2014-10-24,3926
2014-10-31,3480
2014-11-07,3967
2014-11-14,3794
2014-11-21,4120
2014-11-28,3574
2014-12-05,3466
2014-12-12,4240
2014-12-19,4304
2014-12-26,4235
2015-01-02,2865
2015-01-09,3943
2015-01-16,4524
2015-01-23,4567
2015-01-30,3684
2015-02-06,4300
2015-02-13,4250
2015-02-20,4282
2015-02-27,4053
2015-03-06,3758
2015-03-13,3774
2015-03-20,3966
2015-03-27,3820
2015-04-03,4215
2015-04-10,3807
2015-04-17,3855
2015-04-24,3993
2015-05-01,3879
2015-05-08,4524
2015-05-15,4161
2015-05-22,3955
2015-05-29,3523
2015-06-05,4115
2015-06-12,4117
2015-06-19,3608
2015-06-26,3904
2015-07-03,3794
2015-07-10,3465
2015-07-17,4004
2015-07-24,3628
2015-07-31,3780
2015-08-07,3545
2015-08-14,3895
2015-08-21,3601
2015-08-28,3761
2015-09-04,3565
2015-09-11,3482
2015-09-18,4322
2015-09-25,3762
2015-10-02,4191
2015-10-09,3618
2015-10-16,3819
2015-10-23,4261
2015-10-30,4006
2015-11-06,3813
2015-11-13,4157
2015-11-20,3700
2015-11-27,3646
2015-12-04,3268
2015-12-11,3521
2015-12-18,3995
2015-12-25,3633
2016-01-01,3034
2016-01-08,2832
2016-01-15,3678
2016-01-22,4005
2016-01-29,3524
2016-02-05,3162
2016-02-12,3482
2016-02-19,3704
2016-02-26,3364
2016-03-04,3706
2016-03-11,3870
2016-03-18,3373
2016-03-25,3848
2016-04-01,3609
2016-04-08,3853
2016-04-15,4276
2016-04-22,4122
2016-04-29,3946
2016-05-06,4014
2016-05-13,4326
2016-05-20,4088
2016-05-27,3827
2016-06-03,3576
2016-06-10,3817
2016-06-17,3902
2016-06-24,3998
2016-07-01,3933
2016-07-08,3206
2016-07-15,3920
2016-07-22,3856
2016-07-29,3605
2016-08-05,3937
2016-08-12,3488
2016-08-19,3790
2016-08-26,3838
2016-09-02,3688
2016-09-09,3276
2016-09-16,3431
2016-09-23,3772
2016-09-30,3875
2016-10-07,4266
2016-10-14,3987
2016-10-21,4166
2016-10-28,3863
2016-11-04,4043
2016-11-11,3944
2016-11-18,4121
2016-11-25,3841
2016-12-02,3704
2016-12-09,4030
2016-12-16,4549
2016-12-23,3967
2016-12-30,2792
2017-01-06,3198
2017-01-13,4095
2017-01-20,3645
2017-01-27,3809
2017-02-03,3910
2017-02-10,3853
2017-02-17,4292
2017-02-24,3813
2017-03-03,4091
2017-03-10,4409
2017-03-17,4012
2017-03-24,4222
2017-03-31,4098
2017-04-07,4635
2017-04-14,4177
2017-04-21,3667
2017-04-28,4256
2017-05-05,4139
2017-05-12,4215
2017-05-19,4359
2017-05-26,4025
2017-06-02,3505
2017-06-09,4045
2017-06-16,4158
2017-06-23,4029
